,Entity,Code,Year,Total mismanaged plastic waste in 2010,Coastal population,Population (historical estimates)
520,Albania,ALB,2010,29705.0,2530533.0,2948029.0
779,Algeria,DZA,2010,520555.0,16556580.0,35977451.0
1411,Angola,AGO,2010,62528.0,3790041.0,23356247.0
1670,Anguilla,AIA,2010,52.0,14561.0,13436.0
1792,Antigua and Barbuda,ATG,2010,1253.0,66843.0,88030.0
2051,Argentina,ARG,2010,157777.0,16449245.0,40895751.0
2569,Aruba,ABW,2010,372.0,137910.0,101665.0
2934,Australia,AUS,2010,13889.0,17235954.0,22154687.0
3713,Bahamas,BHS,2010,1333.0,341145.0,354936.0
3971,Bahrain,BHR,2010,4376.0,743574.0,1240864.0
4230,Bangladesh,BGD,2010,787327.0,70874124.0,147575433.0
4489,Barbados,BRB,2010,3483.0,276784.0,282131.0
5000,Belgium,BEL,2010,2743.0,4747957.0,10938735.0
5259,Belize,BLZ,2010,3892.0,202429.0,322465.0
5518,Benin,BEN,2010,43015.0,3235418.0,9199254.0
5777,Bermuda,BMU,2010,123.0,66966.0,65388.0
6439,Bosnia and Herzegovina,BIH,2010,12955.0,585582.0,3705478.0
6958,Brazil,BRA,2010,471404.0,74696771.0,195713637.0
7218,British Virgin Islands,VGB,2010,55.0,29674.0,27796.0
7290,Brunei,BRN,2010,93.0,359871.0,388634.0
7549,Bulgaria,BGR,2010,18739.0,1002695.0,7425011.0
8326,Cambodia,KHM,2010,29686.0,1391254.0,14312205.0
8585,Cameroon,CMR,2010,27713.0,1986723.0,20341236.0
8844,Canada,CAN,2010,7959.0,11846863.0,34147566.0
9103,Cape Verde,CPV,2010,9347.0,522245.0,492644.0
9336,Cayman Islands,CYM,2010,95.0,51864.0,56672.0
9926,Channel Islands,OWID_CIS,2010,281.0,153352.0,159718.0
9998,Chile,CHL,2010,21754.0,5621550.0,17062531.0
10257,China,CHN,2010,8819717.0,262892387.0,1368810604.0
10516,Christmas Island,CXR,2010,3.0,1402.0,
10518,Cocos Islands,CCK,2010,1.0,596.0,
10520,Colombia,COL,2010,92173.0,7498563.0,45222699.0
10779,Comoros,COM,2010,58032.0,938595.0,689696.0
11019,Congo,COG,2010,16766.0,847807.0,4273738.0
11278,Cook Islands,COK,2010,416.0,20934.0,18392.0
11350,Costa Rica,CRI,2010,42090.0,2479298.0,4577371.0
11609,Cote d'Ivoire,CIV,2010,194558.0,6230583.0,20532944.0
11868,Croatia,HRV,2010,16461.0,1602782.0,4328163.0
12127,Cuba,CUB,2010,90630.0,11333471.0,11225833.0
12386,Curacao,CUW,2010,268.0,143784.0,149188.0
12458,Cyprus,CYP,2010,1821.0,840556.0,1112617.0
12977,Democratic Republic of Congo,COD,2010,15208.0,1076056.0,64563853.0
13236,Denmark,DNK,2010,1791.0,5376386.0,5554849.0
13495,Djibouti,DJI,2010,17324.0,621744.0,840194.0
13754,Dominica,DMA,2010,783.0,70138.0,70877.0
14008,Dominican Republic,DOM,2010,118226.0,8232586.0,9695117.0
14268,Ecuador,ECU,2010,109383.0,6400048.0,15011114.0
14527,Egypt,EGY,2010,967012.0,21750943.0,82761244.0
14786,El Salvador,SLV,2010,118732.0,6410726.0,6183877.0
15045,Equatorial Guinea,GNQ,2010,5977.0,351600.0,943640.0
15304,Eritrea,ERI,2010,16259.0,1266222.0,3170437.0
15564,Estonia,EST,2010,5979.0,878021.0,1332103.0
16600,Faeroe Islands,FRO,2010,93.0,50554.0,47803.0
16724,Falkland Islands,FLK,2010,5.0,2602.0,2902.0
16823,Fiji,FJI,2010,49257.0,896145.0,859816.0
17073,Finland,FIN,2010,4985.0,2927674.0,5365784.0
17332,France,FRA,2010,24109.0,17287280.0,62879535.0
17591,French Guiana,GUF,2010,2360.0,167631.0,232996.0
17713,French Polynesia,PYF,2010,1286.0,270618.0,266449.0
17786,Gabon,GAB,2010,6087.0,862328.0,1624146.0
18045,Gambia,GMB,2010,19616.0,1324214.0,1793199.0
18304,Georgia,GEO,2010,14472.0,1124249.0,4099095.0
18563,Germany,DEU,2010,31239.0,8837035.0,80827001.0
18822,Ghana,GHA,2010,91571.0,7727702.0,24779614.0
19081,Gibraltar,GIB,2010,65.0,33483.0,33585.0
19153,Greece,GRC,2010,14229.0,9794702.0,10887640.0
19412,Greenland,GRL,2010,105.0,57068.0,56638.0
19516,Grenada,GRD,2010,2248.0,96121.0,106227.0
19775,Guadeloupe,GLP,2010,6564.0,466166.0,406073.0
19899,Guam,GUM,2010,393.0,190809.0,159439.0
