,Disposal Method,Year,Share of global plastic waste (%)
0,Discarded,1980,100.0
1,Discarded,1981,98.3
2,Discarded,1982,97.6
3,Discarded,1983,96.9
4,Discarded,1984,96.2
5,Discarded,1985,95.5
6,Discarded,1986,94.8
7,Discarded,1987,94.1
8,Discarded,1988,92.8
9,Discarded,1989,91.4
10,Discarded,1990,90.0
11,Discarded,1991,88.6
12,Discarded,1992,87.2
13,Discarded,1993,85.8
14,Discarded,1994,84.4
15,Discarded,1995,83.0
16,Discarded,1996,81.6
17,Discarded,1997,80.2
18,Discarded,1998,78.8
19,Discarded,1999,77.4
20,Discarded,2000,76.0
21,Discarded,2001,74.6
22,Discarded,2002,73.2
23,Discarded,2003,71.8
24,Discarded,2004,70.4
25,Discarded,2005,69.0
26,Discarded,2006,67.6
27,Discarded,2007,66.2
28,Discarded,2008,64.8
29,Discarded,2009,63.4
30,Discarded,2010,62.0
31,Discarded,2011,60.6
32,Discarded,2012,59.2
33,Discarded,2013,57.8
34,Discarded,2014,56.4
35,Discarded,2015,55.0
36,Incinerated,1980,0.0
37,Incinerated,1981,1.7
38,Incinerated,1982,2.4
39,Incinerated,1983,3.1
40,Incinerated,1984,3.8
41,Incinerated,1985,4.5
42,Incinerated,1986,5.2
43,Incinerated,1987,5.9
44,Incinerated,1988,6.6
45,Incinerated,1989,7.3
46,Incinerated,1990,8.0
47,Incinerated,1991,8.7
48,Incinerated,1992,9.4
49,Incinerated,1993,10.1
50,Incinerated,1994,10.8
51,Incinerated,1995,11.5
52,Incinerated,1996,12.2
53,Incinerated,1997,12.9
54,Incinerated,1998,13.6
55,Incinerated,1999,14.3
56,Incinerated,2000,15.0
57,Incinerated,2001,15.7
58,Incinerated,2002,16.4
59,Incinerated,2003,17.1
60,Incinerated,2004,17.8
61,Incinerated,2005,18.5
62,Incinerated,2006,19.2
63,Incinerated,2007,19.9
64,Incinerated,2008,20.6
65,Incinerated,2009,21.3
66,Incinerated,2010,22.0
67,Incinerated,2011,22.7
68,Incinerated,2012,23.4
69,Incinerated,2013,24.1
70,Incinerated,2014,24.8
71,Incinerated,2015,25.5
72,Recycled,1980,0.0
73,Recycled,1981,0.0
74,Recycled,1982,0.0
75,Recycled,1983,0.0
76,Recycled,1984,0.0
77,Recycled,1985,0.0
78,Recycled,1986,0.0
79,Recycled,1987,0.0
80,Recycled,1988,0.6
81,Recycled,1989,1.3
82,Recycled,1990,2.0
83,Recycled,1991,2.7
84,Recycled,1992,3.4
85,Recycled,1993,4.1
86,Recycled,1994,4.8
87,Recycled,1995,5.5
88,Recycled,1996,6.2
89,Recycled,1997,6.9
90,Recycled,1998,7.6
91,Recycled,1999,8.3
92,Recycled,2000,9.0
93,Recycled,2001,9.7
94,Recycled,2002,10.4
95,Recycled,2003,11.1
96,Recycled,2004,11.8
97,Recycled,2005,12.5
98,Recycled,2006,13.2
99,Recycled,2007,13.9
100,Recycled,2008,14.6
101,Recycled,2009,15.3
102,Recycled,2010,16.0
103,Recycled,2011,16.7
104,Recycled,2012,17.4
105,Recycled,2013,18.1
106,Recycled,2014,18.8
107,Recycled,2015,19.5
