,Country name,Code,Year,Share of plastic inadequately managed (%)
71,Guernsey,GGY,2010,0
52,Faeroe Islands,FRO,2010,0
53,Falkland Islands,FLK,2010,0
55,Finland,FIN,2010,0
64,Gibraltar,GIB,2010,0
25,Cayman Islands,CYM,2010,0
97,Macao,MAC,2010,0
178,United Arab Emirates,ARE,2010,0
69,Guam,GUM,2010,0
166,Taiwan,TWN,2010,0
15,Bermuda,BMU,2010,0
103,Martinique,MTQ,2010,0
175,Turks and Caicos Islands,TCA,2010,0
7,Australia,AUS,2010,0
179,United Kingdom,GBR,2010,0
12,Belgium,BEL,2010,0
160,Spain,ESP,2010,0
159,South Korea,KOR,2010,0
180,United States,USA,2010,0
78,Iceland,ISL,2010,0
153,Singapore,SGP,2010,0
18,British Virgin Islands,VGB,2010,0
23,Canada,CAN,2010,0
164,Sweden,SWE,2010,0
108,Monaco,MCO,2010,0
154,Sint Maarten (Dutch part),SXM,2010,0
62,Germany,DEU,2010,0
91,Kuwait,KWT,2010,0
145,Saint Pierre and Miquelon,SPM,2010,0
65,Greece,GRC,2010,0
56,France,FRA,2010,0
83,Ireland,IRL,2010,0
139,Reunion,REU,2010,0
138,Qatar,QAT,2010,0
136,Portugal,PRT,2010,0
29,Christmas Island,CXR,2010,0
30,Cocos Islands,CCK,2010,0
85,Italy,ITA,2010,0
66,Greenland,GRL,2010,0
126,Norway,NOR,2010,0
40,Cyprus,CYP,2010,0
117,Netherlands Antilles,ANT,2010,0
87,Japan,JPN,2010,0
118,New Caledonia,NCL,2010,0
116,Netherlands,NLD,2010,0
39,Curacao,CUW,2010,0
122,Niue,NIU,2010,0
26,Channel Islands,OWID_CIS,2010,0
125,Northern Mariana Islands,MNP,2010,0
119,New Zealand,NZL,2010,0
42,Denmark,DNK,2010,0
19,Brunei,BRN,2010,1
8,Bahamas,BHS,2010,1
77,Hong Kong,HKG,2010,1
84,Israel,ISR,2010,1
155,Slovenia,SVN,2010,1
6,Aruba,ABW,2010,1
3,Anguilla,AIA,2010,2
137,Puerto Rico,PRI,2010,2
58,French Polynesia,PYF,2010,3
172,Trinidad and Tobago,TTO,2010,3
11,Barbados,BRB,2010,4
127,Oman,OMN,2010,4
183,Venezuela,VEN,2010,5
101,Malta,MLT,2010,6
4,Antigua and Barbuda,ATG,2010,6
143,Saint Kitts and Nevis,KNA,2010,6
130,Palestine,PSE,2010,6
27,Chile,CHL,2010,7
181,Uruguay,URY,2010,8
149,Saudi Arabia,SAU,2010,8
37,Croatia,HRV,2010,9
51,Estonia,EST,2010,9
17,Brazil,BRA,2010,9
9,Bahrain,BHR,2010,10
106,Mexico,MEX,2010,12
110,Montserrat,MSR,2010,12
5,Argentina,ARG,2010,12
135,Poland,POL,2010,12
92,Latvia,LVA,2010,14
96,Lithuania,LTU,2010,14
163,Suriname,SUR,2010,15
35,Costa Rica,CRI,2010,16
141,Russia,RUS,2010,16
174,Turkey,TUR,2010,16
131,Panama,PAN,2010,18
67,Grenada,GRD,2010,18
44,Dominica,DMA,2010,19
144,Saint Lucia,LCA,2010,20
31,Colombia,COL,2010,21
146,Saint Vincent and the Grenadines,VCT,2010,21
38,Cuba,CUB,2010,23
95,Libya,LBY,2010,23
68,Guadeloupe,GLP,2010,25
45,Dominican Republic,DOM,2010,25
57,French Guiana,GUF,2010,25
142,Saint Helena,SHN,2010,25
133,Peru,PER,2010,25
140,Romania,ROU,2010,26
86,Jamaica,JAM,2010,27
13,Belize,BLZ,2010,29
46,Ecuador,ECU,2010,30
49,Equatorial Guinea,GNQ,2010,30
109,Montenegro,MNE,2010,30
20,Bulgaria,BGR,2010,31
48,El Salvador,SLV,2010,33
59,Gabon,GAB,2010,34
93,Lebanon,LBN,2010,34
34,Cook Islands,COK,2010,36
74,Guyana,GUY,2010,36
70,Guatemala,GTM,2010,36
151,Seychelles,SYC,2010,37
16,Bosnia and Herzegovina,BIH,2010,40
76,Honduras,HND,2010,40
0,Albania,ALB,2010,45
120,Nicaragua,NIC,2010,45
75,Haiti,HTI,2010,47
177,Ukraine,UKR,2010,49
81,Iran,IRN,2010,50
61,Georgia,GEO,2010,51
105,Mauritius,MUS,2010,51
158,South Africa,ZAF,2010,54
99,Malaysia,MYS,2010,55
129,Palau,PLW,2010,56
88,Jordan,JOR,2010,58
1,Algeria,DZA,2010,58
173,Tunisia,TUN,2010,60
82,Iraq,IRQ,2010,63
165,Syria,SYR,2010,65
100,Maldives,MDV,2010,66
114,Namibia,NAM,2010,66
111,Morocco,MAR,2010,66
115,Nauru,NRU,2010,67
47,Egypt,EGY,2010,67
2,Angola,AGO,2010,71
43,Djibouti,DJI,2010,73
168,Thailand,THA,2010,73
185,Yemen,YEM,2010,73
176,Tuvalu,TUV,2010,73
28,China,CHN,2010,74
24,Cape Verde,CPV,2010,74
33,Congo,COG,2010,77
50,Eritrea,ERI,2010,77
102,Marshall Islands,MHL,2010,77
54,Fiji,FJI,2010,78
171,Tonga,TON,2010,78
147,Samoa,WSM,2010,80
162,Sudan,SDN,2010,80
22,Cameroon,CMR,2010,81
107,Micronesia (country),FSM,2010,81
121,Nigeria,NGA,2010,81
80,Indonesia,IDN,2010,81
134,Philippines,PHL,2010,81
148,Sao Tome and Principe,STP,2010,81
63,Ghana,GHA,2010,81
182,Vanuatu,VUT,2010,81
161,Sri Lanka,LKA,2010,82
36,Cote d'Ivoire,CIV,2010,82
123,Norfolk Island,NFK,2010,82
104,Mauritania,MRT,2010,82
170,Tokelau,TKL,2010,82
150,Senegal,SEN,2010,82
32,Comoros,COM,2010,83
73,Guinea-Bissau,GNB,2010,83
14,Benin,BEN,2010,83
89,Kenya,KEN,2010,83
90,Kiribati,KIR,2010,84
94,Liberia,LBR,2010,84
98,Madagascar,MDG,2010,84
112,Mozambique,MOZ,2010,84
152,Sierra Leone,SLE,2010,84
60,Gambia,GMB,2010,84
169,Togo,TGO,2010,84
72,Guinea,GIN,2010,84
167,Tanzania,TZA,2010,84
41,Democratic Republic of Congo,COD,2010,85
79,India,IND,2010,85
157,Somalia,SOM,2010,85
184,Vietnam,VNM,2010,86
128,Pakistan,PAK,2010,86
132,Papua New Guinea,PNG,2010,86
156,Solomon Islands,SLB,2010,86
21,Cambodia,KHM,2010,87
113,Myanmar,MMR,2010,87
10,Bangladesh,BGD,2010,87
124,North Korea,PRK,2010,88
