,Country name,Code,Year,Mismanaged (% global total)
28,China,CHN,2010,27.6966
80,Indonesia,IDN,2010,10.1019
134,Philippines,PHL,2010,5.9153
184,Vietnam,VNM,2010,5.7588
161,Sri Lanka,LKA,2010,4.9968
168,Thailand,THA,2010,3.2274
47,Egypt,EGY,2010,3.0367
99,Malaysia,MYS,2010,2.9419
121,Nigeria,NGA,2010,2.674
10,Bangladesh,BGD,2010,2.4725
158,South Africa,ZAF,2010,1.9784
79,India,IND,2010,1.8836
1,Algeria,DZA,2010,1.6347
174,Turkey,TUR,2010,1.526
128,Pakistan,PAK,2010,1.5089
17,Brazil,BRA,2010,1.4804
113,Myanmar,MMR,2010,1.4391
111,Morocco,MAR,2010,0.9739
124,North Korea,PRK,2010,0.9557
180,United States,USA,2010,0.8649
150,Senegal,SEN,2010,0.8001
81,Iran,IRN,2010,0.7769
173,Tunisia,TUN,2010,0.7358
36,Cote d'Ivoire,CIV,2010,0.611
133,Peru,PER,2010,0.6106
185,Yemen,YEM,2010,0.531
165,Syria,SYR,2010,0.4959
5,Argentina,ARG,2010,0.4955
75,Haiti,HTI,2010,0.4628
87,Japan,JPN,2010,0.4494
177,Ukraine,UKR,2010,0.4044
48,El Salvador,SLV,2010,0.3729
45,Dominican Republic,DOM,2010,0.3713
46,Ecuador,ECU,2010,0.3435
183,Venezuela,VEN,2010,0.3214
157,Somalia,SOM,2010,0.3188
106,Mexico,MEX,2010,0.3182
76,Honduras,HND,2010,0.3003
172,Trinidad and Tobago,TTO,2010,0.2954
31,Colombia,COL,2010,0.2895
63,Ghana,GHA,2010,0.2876
70,Guatemala,GTM,2010,0.2875
38,Cuba,CUB,2010,0.2846
132,Papua New Guinea,PNG,2010,0.2821
120,Nicaragua,NIC,2010,0.2651
141,Russia,RUS,2010,0.2536
179,United Kingdom,GBR,2010,0.2121
2,Angola,AGO,2010,0.1964
32,Comoros,COM,2010,0.1822
94,Liberia,LBR,2010,0.1781
105,Mauritius,MUS,2010,0.17600000000000002
95,Libya,LBY,2010,0.1657
54,Fiji,FJI,2010,0.1547
167,Tanzania,TZA,2010,0.1526
93,Lebanon,LBN,2010,0.1502
112,Mozambique,MOZ,2010,0.1444
160,Spain,ESP,2010,0.14400000000000002
166,Taiwan,TWN,2010,0.1436
14,Benin,BEN,2010,0.1351
35,Costa Rica,CRI,2010,0.1322
74,Guyana,GUY,2010,0.1319
152,Sierra Leone,SLE,2010,0.1143
169,Togo,TGO,2010,0.1112
98,Madagascar,MDG,2010,0.1084
131,Panama,PAN,2010,0.10800000000000001
159,South Korea,KOR,2010,0.106
85,Italy,ITA,2010,0.1029
100,Maldives,MDV,2010,0.0988
62,Germany,DEU,2010,0.0981
0,Albania,ALB,2010,0.0933
21,Cambodia,KHM,2010,0.0932
77,Hong Kong,HKG,2010,0.0895
22,Cameroon,CMR,2010,0.087
116,Netherlands,NLD,2010,0.087
