,Country name,Code,Year,Per capita mismanaged plastic waste,GDP per capita ($),Population (historical estimates)
582,Albania,ALB,2010,0.032,10749.487448165799,2948029.0
841,Algeria,DZA,2010,0.086,10970.7063686682,35977451.0
1473,Angola,AGO,2010,0.045,7692.43428623311,23356247.0
1854,Antigua and Barbuda,ATG,2010,0.051,18205.7385326292,88030.0
2144,Argentina,ARG,2010,0.026000000000000002,23521.2701750961,40895751.0
2662,Aruba,ABW,2010,0.006999999999999999,34343.1513198843,101665.0
3027,Australia,AUS,2010,0.002,44991.7837148741,22154687.0
3806,Bahamas,BHS,2010,0.011000000000000001,36504.4070465871,354936.0
4064,Bahrain,BHR,2010,0.016,44599.804972084006,1240864.0
4323,Bangladesh,BGD,2010,0.03,2883.4667939130895,147575433.0
4582,Barbados,BRB,2010,0.034,15596.616811330901,282131.0
5093,Belgium,BEL,2010,0.002,47971.6303134944,10938735.0
5352,Belize,BLZ,2010,0.053,7294.68414297853,322465.0
5611,Benin,BEN,2010,0.036000000000000004,2704.7054840378,9199254.0
5870,Bermuda,BMU,2010,0.005,88399.91594924929,65388.0
6532,Bosnia and Herzegovina,BIH,2010,0.061,10938.2850480476,3705478.0
7051,Brazil,BRA,2010,0.017,14873.208317336299,195713637.0
7383,Brunei,BRN,2010,0.001,67753.4217667143,388634.0
7642,Bulgaria,BGR,2010,0.051,17440.671883099,7425011.0
8419,Cambodia,KHM,2010,0.057999999999999996,2716.69973756029,14312205.0
8678,Cameroon,CMR,2010,0.038,3086.2214744681,20341236.0
8937,Canada,CAN,2010,0.002,44861.5239641879,34147566.0
9196,Cape Verde,CPV,2010,0.049,6200.3435365952,492644.0
9460,Cayman Islands,CYM,2010,0.005,66882.5075913816,56672.0
10153,Chile,CHL,2010,0.011000000000000001,21262.4669863019,17062531.0
10412,China,CHN,2010,0.092,8884.58803122605,1368810604.0
10675,Colombia,COL,2010,0.034,11783.2999142858,45222699.0
10934,Comoros,COM,2010,0.16899999999999998,2878.2697103637297,689696.0
11174,Congo,COG,2010,0.054000000000000006,5172.76090245052,4273738.0
11505,Costa Rica,CRI,2010,0.047,16830.4361782214,4577371.0
11764,Cote d'Ivoire,CIV,2010,0.086,3660.9038474515205,20532944.0
12023,Croatia,HRV,2010,0.027999999999999997,24280.602692971202,4328163.0
12541,Curacao,CUW,2010,0.005,28543.360705969902,149188.0
12613,Cyprus,CYP,2010,0.006,38379.0903965443,1112617.0
13132,Democratic Republic of Congo,COD,2010,0.039,865.684040221023,64563853.0
13391,Denmark,DNK,2010,0.001,50825.4122929358,5554849.0
13909,Dominica,DMA,2010,0.031,12003.766082206299,70877.0
14163,Dominican Republic,DOM,2010,0.039,12782.457172415301,9695117.0
14547,Ecuador,ECU,2010,0.047,10340.9702972165,15011114.0
14806,Egypt,EGY,2010,0.122,10340.073229068399,82761244.0
15065,El Salvador,SLV,2010,0.051,7328.71990965521,6183877.0
15324,Equatorial Guinea,GNQ,2010,0.047,34732.2191497036,943640.0
15843,Estonia,EST,2010,0.019,26133.3818108942,1332103.0
17257,Fiji,FJI,2010,0.151,10547.9303978854,859816.0
17507,Finland,FIN,2010,0.005,45874.6613021399,5365784.0
17766,France,FRA,2010,0.004,42147.6716766942,62879535.0
18220,Gabon,GAB,2010,0.019,14415.445911391202,1624146.0
18479,Gambia,GMB,2010,0.040999999999999995,2346.72047883159,1793199.0
18738,Georgia,GEO,2010,0.035,9736.73209374292,4099095.0
18997,Germany,DEU,2010,0.01,46929.9934093156,80827001.0
19256,Ghana,GHA,2010,0.032,3729.47590321705,24779614.0
19587,Greece,GRC,2010,0.004,33753.6177475922,10887640.0
