,Country name,Year,Plastic mass input from rivers (tonnes)
0,Africa,2015,109200
1,"Amazon (Brazil, Peru, Colombia, Ecuador)",2015,38900
2,Asia,2015,1210000
3,Australia-Pacific,2015,300
4,Brantas (Indonesia),2015,38900
5,Central & North America,2015,13400
6,"Cross (Nigeria, Cameroon)",2015,40300
7,Dong (China),2015,19100
8,Europe,2015,3900
9,"Ganges (India, Bangladesh)",2015,115000
10,Hanjiang (China),2015,12900
11,Huangpu (China),2015,40800
12,Imo (Nigeria),2015,21500
13,Irrawaddy (Myanmar),2015,35300
14,Kwa Ibo (Nigeria),2015,11900
15,Magdalena (Colombia),2015,16700
16,"Mekong (Thailand, Cambodia, Laos, China, Myanmar, Vietnam)",2015,22800
17,Pasig (Philippines),2015,38800
18,Progo (Indonesia),2015,12800
19,Serayu (Indonesia),2015,17100
20,Solo (Indonesia),2015,32500
21,South America,2015,67400
22,Tamsui (Taiwan),2015,14700
23,World,2015,1404200
24,Xi (China),2015,73900
25,Yangtze (China),2015,333000
26,Zhujiang (China),2015,13600
