,Sector,Year,Quantity (million tonnes)
0,Additives,2015,17000000
2,Building and Construction,2015,13000000
3,Consumer & Institutional Products,2015,37000000
4,Electrical/Electronic,2015,13000000
5,HDPE,2015,40000000
6,Industrial Machinery,2015,1000000
7,"LD, LDPE",2015,57000000
8,Other polymer type,2015,11000000
9,Other sectors,2015,38000000
10,PET,2015,32000000
11,PP,2015,55000000
12,PP&A fibers,2015,42000000
13,PS,2015,17000000
14,PUT,2015,16000000
15,PVC,2015,15000000
16,Packaging,2015,141000000
17,Textiles,2015,42000000
18,Transportation,2015,17000000
