,Country name,Code,Year,Mismanaged waste emitted to the ocean (metric tons year-1)
118,Philippines,PHL,2019,356371
66,India,IND,2019,126513
88,Malaysia,MYS,2019,73098
25,China,CHN,2019,70707
67,Indonesia,IDN,2019,56333
16,Brazil,BRA,2019,37799
166,Vietnam,VNM,2019,28221
10,Bangladesh,BGD,2019,24640
153,Thailand,THA,2019,22806
106,Nigeria,NGA,2019,18640
159,Turkey,TUR,2019,14329
21,Cameroon,CMR,2019,10671
146,Sri Lanka,LKA,2019,9654
58,Guatemala,GTM,2019,7142
62,Haiti,HTI,2019,6929
37,Dominican Republic,DOM,2019,6276
165,Venezuela,VEN,2019,5988
152,Tanzania,TZA,2019,5785
2,Algeria,DZA,2019,5774
115,Panama,PAN,2019,5237
30,Cote d'Ivoire,CIV,2019,4784
142,South Africa,ZAF,2019,4266
54,Ghana,GHA,2019,4185
5,Argentina,ARG,2019,4137
135,Sierra Leone,SLE,2019,3624
157,Trinidad and Tobago,TTO,2019,3557
95,Mexico,MEX,2019,3512
116,Papua New Guinea,PNG,2019,3059
83,Liberia,LBR,2019,2638
100,Mozambique,MOZ,2019,2544
101,Myanmar,MMR,2019,2544
40,Egypt,EGY,2019,2471
63,Honduras,HND,2019,2436
163,United States,USA,2019,2431
59,Guinea,GIN,2019,2347
73,Jamaica,JAM,2019,2334
74,Japan,JPN,2019,1835
99,Morocco,MAR,2019,1800
148,Suriname,SUR,2019,1677
14,Benin,BEN,2019,1639
1,Albania,ALB,2019,1565
105,Nicaragua,NIC,2019,1465
61,Guyana,GUY,2019,1246
39,Ecuador,ECU,2019,1136
20,Cambodia,KHM,2019,1113
164,Uruguay,URY,2019,998
68,Iran,IRN,2019,928
84,Libya,LBY,2019,879
112,Pakistan,PAK,2019,873
3,Angola,AGO,2019,860
160,Ukraine,UKR,2019,859
41,El Salvador,SLV,2019,808
87,Madagascar,MDG,2019,775
154,Timor,TLS,2019,715
162,United Kingdom,GBR,2019,703
158,Tunisia,TUN,2019,688
81,Lebanon,LBN,2019,684
28,Congo,COG,2019,676
125,Russia,RUS,2019,542
151,Taiwan,TWN,2019,531
29,Costa Rica,CRI,2019,450
127,Saint Lucia,LCA,2019,449
50,Gabon,GAB,2019,445
155,Togo,TGO,2019,436
26,Colombia,COL,2019,431
51,Gambia,GMB,2019,421
33,Democratic Republic of Congo,COD,2019,420
72,Italy,ITA,2019,414
42,Equatorial Guinea,GNQ,2019,405
144,South Korea,KOR,2019,387
13,Belize,BLZ,2019,374
46,Fiji,FJI,2019,365
24,Chile,CHL,2019,322
103,Netherlands,NLD,2019,271
117,Peru,PER,2019,259
77,Kenya,KEN,2019,259
169,Yemen,YEM,2019,252
60,Guinea-Bissau,GNB,2019,247
22,Canada,CAN,2019,238
48,France,FRA,2019,235
145,Spain,ESP,2019,235
31,Croatia,HRV,2019,224
55,Greece,GRC,2019,216
133,Senegal,SEN,2019,169
136,Singapore,SGP,2019,164
53,Germany,DEU,2019,134
17,Brunei,BRN,2019,134
56,Grenada,GRD,2019,130
93,Mauritania,MRT,2019,127
114,Palestine,PSE,2019,118
70,Ireland,IRL,2019,115
64,Hong Kong,HKG,2019,112
147,Sudan,SDN,2019,106
140,Solomon Islands,SLB,2019,100
129,Saint Vincent and the Grenadines,VCT,2019,81
124,Romania,ROU,2019,80
131,Sao Tome and Principe,STP,2019,77
120,Portugal,PRT,2019,76
121,Puerto Rico,PRI,2019,71
104,New Zealand,NZL,2019,68
69,Iraq,IRQ,2019,67
36,Dominica,DMA,2019,53
108,North Korea,PRK,2019,50
43,Eritrea,ERI,2019,48
11,Barbados,BRB,2019,45
150,Syria,SYR,2019,44
167,Western Sahara,ESH,2019,38
149,Sweden,SWE,2019,36
12,Belgium,BEL,2019,34
71,Israel,ISR,2019,33
7,Australia,AUS,2019,32
119,Poland,POL,2019,29
92,Martinique,MTQ,2019,22
8,Bahamas,BHS,2019,20
161,United Arab Emirates,ARE,2019,14
76,Kazakhstan,KAZ,2019,13
44,Estonia,EST,2019,12
139,Slovenia,SVN,2019,11
34,Denmark,DNK,2019,9
80,Latvia,LVA,2019,9
49,French Guiana,GUF,2019,7
18,Bulgaria,BGR,2019,7
113,Palau,PLW,2019,7
79,Kuwait,KWT,2019,7
85,Lithuania,LTU,2019,7
15,Bosnia and Herzegovina,BIH,2019,6
35,Djibouti,DJI,2019,4
57,Guadeloupe,GLP,2019,4
32,Cyprus,CYP,2019,3
52,Georgia,GEO,2019,3
132,Saudi Arabia,SAU,2019,3
4,Antigua and Barbuda,ATG,2019,2
102,Namibia,NAM,2019,2
141,Somalia,SOM,2019,2
111,Oman,OMN,2019,1
75,Jordan,JOR,2019,1
126,Saint Kitts and Nevis,KNA,2019,1
9,Bahrain,BHR,2019,0
156,Tonga,TON,2019,0
23,Cape Verde,CPV,2019,0
138,Slovakia,SVK,2019,0
94,Mauritius,MUS,2019,0
47,Finland,FIN,2019,0
65,Iceland,ISL,2019,0
78,Kiribati,KIR,2019,0
82,Lesotho,LSO,2019,0
89,Maldives,MDV,2019,0
90,Malta,MLT,2019,0
91,Marshall Islands,MHL,2019,0
97,Monaco,MCO,2019,0
134,Seychelles,SYC,2019,0
98,Montenegro,MNE,2019,0
27,Comoros,COM,2019,0
109,Norway,NOR,2019,0
19,Burkina Faso,BFA,2019,0
122,Qatar,QAT,2019,0
123,Reunion,REU,2019,0
130,Samoa,WSM,2019,0
170,Zimbabwe,ZWE,2019,0
